# SYNTHETIC DEMONSTRATION DATA — DRAFT FOR PROFESSIONAL HUMAN REVIEW
"Transaction ID","Date","Vendor or memo","GL account","Amount","Suggested category","Confidence","Evidence","Review status","Grant tag","Receipt status"
"PAY-001","2026-01-15","January program salary allocation","6110 · Program Salaries","5500","Personnel","High","Grant-tagged payroll allocation; approved budget line 1","Suggested","PYF-YAI-2026","Not applicable"
"PAY-002","2026-01-31","January payroll allocation — outreach team","6110 · Program Salaries","5500","Personnel","High","Payroll memo and grant tag match Personnel","Suggested","PYF-YAI-2026","Not applicable"
"PAY-003","2026-02-15","February program salary allocation","6110 · Program Salaries","5500","Personnel","High","Grant-tagged payroll allocation; approved budget line 1","Suggested","PYF-YAI-2026","Not applicable"
"PAY-004","2026-02-28","February payroll allocation — outreach team","6110 · Program Salaries","5500","Personnel","High","Payroll memo and grant tag match Personnel","Suggested","PYF-YAI-2026","Not applicable"
"PAY-005","2026-03-31","March program salaries and taxes","6115 · Program Payroll","5750","Personnel","High","Payroll allocation schedule and grant tag","Suggested","PYF-YAI-2026","Not applicable"
"PAY-006","2026-04-30","April program salaries and taxes","6115 · Program Payroll","5750","Personnel","High","Payroll allocation schedule and grant tag","Suggested","PYF-YAI-2026","Not applicable"
"PAY-007","2026-05-31","May program salary allocation","6110 · Program Salaries","5500","Personnel","High","Grant-tagged payroll allocation; approved budget line 1","Suggested","PYF-YAI-2026","Not applicable"
"PAY-008","2026-06-30","June program salary allocation","6110 · Program Salaries","5500","Personnel","High","Grant-tagged payroll allocation; approved budget line 1","Suggested","PYF-YAI-2026","Not applicable"
"SUP-001","2026-01-22","Learning Lab educational kits","6310 · Program Materials","3200","Program Supplies","High","Invoice describes approved educational materials","Suggested","PYF-YAI-2026","Attached"
"SUP-002","2026-02-10","Books and participant workbooks","6310 · Program Materials","2450","Program Supplies","High","Vendor invoice and program-update inventory","Suggested","PYF-YAI-2026","Attached"
"SUP-003","2026-03-08","Workshop art and science materials","6315 · Workshop Supplies","2100","Program Supplies","High","GL account and memo align to approved supplies line","Suggested","PYF-YAI-2026","Attached"
"SUP-004","2026-04-16","Community learning tablets — accessories","6310 · Program Materials","2700","Program Supplies","Medium","Program purpose supported; controller should confirm capitalization policy","Suggested","PYF-YAI-2026","Attached"
"SUP-005","2026-05-12","Printing for youth workshops","6320 · Program Printing","1900","Program Supplies","High","Grant tag, workshop memo, and budget description align","Suggested","PYF-YAI-2026","Attached"
"SUP-006","2026-06-20","Summer session educational materials","6310 · Program Materials","2500","Program Supplies","High","Invoice and approved program calendar align","Suggested","PYF-YAI-2026","Attached"
"TRV-001","2026-02-18","Mileage and van rental — school-site visits","6410 · Local Transportation","3250","Local Travel","High","Travel schedule and written site-visit justification","Suggested","PYF-YAI-2026","Attached"
"TRV-002","2026-04-22","Mileage reimbursement — expanded school visits","6415 · Mileage Reimbursement","3100","Local Travel","High","Mileage log and Program Director approval","Suggested","PYF-YAI-2026","Attached"
"TRV-003","2026-06-17","Local transport — additional school sites","6410 · Local Transportation","3450","Local Travel","Medium","Program update supports purpose; itemized receipt missing","Suggested","PYF-YAI-2026","Missing"
"IND-001","2026-03-31","First-quarter indirect allocation","6990 · Indirect Allocation","2500","Indirect Overhead","High","Approved $10,000 annual overhead line; quarterly schedule","Suggested","PYF-YAI-2026","Not applicable"
"IND-002","2026-06-30","Second-quarter indirect allocation","6990 · Indirect Allocation","2500","Indirect Overhead","High","Approved $10,000 annual overhead line; quarterly schedule","Suggested","PYF-YAI-2026","Not applicable"
"UNM-001","2026-06-26","Community Events LLC","6530 · Community Outreach","1250","","Unmapped","Class or grant tag is blank; professional review required","Unresolved","","Attached"
